,index,num_blocks,is_augmentation,drop_rate,batch_size,es_patience,feature_maps,verbose,val_accuracy,train_accuracy,test_accuracy
0,12,3,False,0.3,16,5,32,False,0.7039999961853027,0.8799999952316284,0.7099999785423279
1,15,3,False,0.3,32,5,32,False,0.699999988079071,0.8840000033378601,0.6940000057220459
2,21,4,False,0.0,32,5,32,False,0.6899999976158142,0.9972500205039978,0.6919999718666077
3,11,3,False,0.2,32,5,64,False,0.6899999976158142,0.9710000157356262,0.6840000152587891
4,24,4,False,0.2,16,5,32,False,0.6980000138282776,0.9309999942779541,0.6779999732971191
5,30,4,False,0.3,16,5,32,False,0.7099999785423279,0.8675000071525574,0.6740000247955322
6,33,4,False,0.3,32,5,32,False,0.671999990940094,0.8790000081062317,0.6579999923706055
7,17,3,False,0.3,32,5,64,False,0.7099999785423279,0.9492499828338623,0.6579999923706055
8,13,3,False,0.3,16,5,16,False,0.6679999828338623,0.7275000214576721,0.656000018119812
9,26,4,False,0.2,16,5,64,False,0.6660000085830688,0.9492499828338623,0.6499999761581421
10,35,4,False,0.3,32,5,64,False,0.6779999732971191,0.9294999837875366,0.6439999938011169
11,25,4,False,0.2,16,5,16,False,0.6800000071525574,0.8417500257492065,0.6439999938011169
12,9,3,False,0.2,32,5,32,False,0.656000018119812,0.9490000009536743,0.6340000033378601
13,23,4,False,0.0,32,5,64,False,0.6620000004768372,0.9660000205039978,0.628000020980835
14,6,3,False,0.2,16,5,32,False,0.6579999923706055,0.9375,0.6259999871253967
15,28,4,False,0.2,32,5,16,False,0.6060000061988831,0.7862499952316284,0.6259999871253967
16,27,4,False,0.2,32,5,32,False,0.6380000114440918,0.9352499842643738,0.6200000047683716
17,29,4,False,0.2,32,5,64,False,0.6480000019073486,0.9507499933242798,0.6200000047683716
18,32,4,False,0.3,16,5,64,False,0.6639999747276306,0.8477500081062317,0.6179999709129333
19,34,4,False,0.3,32,5,16,False,0.6779999732971191,0.7515000104904175,0.6159999966621399
20,3,3,False,0.0,32,5,32,False,0.6380000114440918,0.9502500295639038,0.6079999804496765
21,18,4,False,0.0,16,5,32,False,0.6480000019073486,0.9835000038146973,0.6019999980926514
22,10,3,False,0.2,32,5,16,False,0.6499999761581421,0.8247500061988831,0.6000000238418579
23,31,4,False,0.3,16,5,16,False,0.6140000224113464,0.7064999938011169,0.5960000157356262
24,20,4,False,0.0,16,5,64,False,0.6259999871253967,0.9642500281333923,0.5920000076293945
25,5,3,False,0.0,32,5,64,False,0.6399999856948853,0.981249988079071,0.5920000076293945
26,7,3,False,0.2,16,5,16,False,0.6140000224113464,0.8125,0.5879999995231628
27,14,3,False,0.3,16,5,64,False,0.6940000057220459,0.9365000128746033,0.5820000171661377
28,4,3,False,0.0,32,5,16,False,0.6159999966621399,0.9624999761581421,0.5820000171661377
29,16,3,False,0.3,32,5,16,False,0.6100000143051147,0.7570000290870667,0.578000009059906
30,2,3,False,0.0,16,5,64,False,0.6539999842643738,0.972000002861023,0.5759999752044678
31,0,3,False,0.0,16,5,32,False,0.621999979019165,0.9850000143051147,0.5740000009536743
32,8,3,False,0.2,16,5,64,False,0.6100000143051147,0.9595000147819519,0.5699999928474426
33,22,4,False,0.0,32,5,16,False,0.5920000076293945,0.9712499976158142,0.550000011920929
34,1,3,False,0.0,16,5,16,False,0.5519999861717224,0.9555000066757202,0.5440000295639038
35,19,4,False,0.0,16,5,16,False,0.5659999847412109,0.9747499823570251,0.5320000052452087
